AirLine_Name,Rating - 10,Title,Name,Date,Review,Recommend,Extracted_Aspects
AirIndia,8.0,for the price paid flight was pretty good,T Reddy,2024-09-26,it seems that on the early morning departure from bom to ccu they have upgraded their aircraft from the a320 to the a321 which resulted in additional seating and so i was able to get a seat onboard this flight departure was on time and for breakfast had opted for the omelet with hash browns which was good the crew were quite nice during this flight and landing into calcutta was timely for the price paid the flight was pretty good,1,"['the early morning departure', 'bom', 'ccu', 'their aircraft', 'the a320', 'the a321', 'additional seating', 'a seat', 'this flight departure', 'time', 'breakfast', 'the omelet', 'hash browns', 'the crew', 'this flight', 'landing', 'calcutta', 'the price', 'the flight']"
AirIndia,1.0,the experience was extremely poor,Joshua Heath,2024-09-26,i flew from sydney to delhi on flight ai301 and the experience was extremely poor unacceptable service from the onboard crew throughout the flight before take off a ground crew member came onboard to inform me the entertainment system at my seat was not working i was given the following 3 options option 1 they would try and get me on a flight the next day i was traveling for business with multiple meetings booked for my arrival in delhi which could not be changed i declined this offer option 2 downgrade to economy i declined this offer option 3 sign a form giving me rs 10000 credit approximately 180aud i accepted this offer however considering my flight was 12 hours with no entertainment the compensation offered was extremely disappointing inadequate and not reflective of the situation i was faced with the most shocking part of the flight which was completely inappropriate were the crew members that took their sleep breaks in seat e  f of row 1 business class seats in total i counted 6 different crew taking their sleep breaks for around 45min  1hour with some even changing into sleepwear absolutely appalling i did not pay a full business class fare to be seated in a crew rest area unexceptionable and disgraceful at what stage of air travel did crew sleep in passenger seats let alone in business class throughout my flight it was exceedingly difficult to get a crew members attention even after pressing my call button crew would walk straight pass my seat which i witnessed this among other passengers as well i had to get up from me seat twice during my flight to go and ask a crew member in the galley for assistance non of the crew were helpful or polite and i was made to feel like i was an inconvenience to their journey i contact air india via email following my flight regarding the crew taking their rest breaks in the business class cabin astonishingly i was informed that crew are permitted to rest in vacant seats so unless you want to sit next to the crew taking it their rest breaks i recommend avoiding air india,0,"['sydney', 'delhi', 'flight', 'ai301', 'the experience', 'extremely poor unacceptable service', 'the onboard crew', 'the flight', 'a ground crew member', 'the entertainment system', 'my seat', 'the following 3 options option', 'a flight', 'business', 'multiple meetings', 'my arrival', 'delhi', 'this offer option', 'economy', 'this offer option', 'a form', 'rs 10000 credit', 'this offer', 'my flight', '12 hours', 'no entertainment', 'the compensation', 'the situation', 'the most shocking part', 'the flight', 'the crew members', 'their sleep breaks', 'seat e  f', 'row', '1 business class seats', 'total', '6 different crew', 'their sleep breaks', '45min', 'sleepwear', 'a full business class fare', 'a crew rest area', 'what stage', 'air travel', 'crew sleep', 'passenger seats', 'business class', 'my flight', 'a crew members attention', 'my call button crew', 'my seat', 'other passengers', 'my flight', 'a crew member', 'the galley', 'assistance', 'non', 'the crew', 'an inconvenience', 'their journey', 'air india', 'email', 'my flight', 'the crew', 'their rest breaks', 'the business class cabin', 'that crew', 'vacant seats', 'the crew', 'their rest breaks', 'air india']"
AirIndia,1.0,incompetence of this airline,Alex Simion,2024-09-26,had a flight on 31 august from bangalore to paris with a stop in delhi although the connection was 3h appart and the air india personell assured me that the baggage will be forwarded in delhi hey did not manage to do that i am now 24 days latter after 10s of calls and several tickets opened still not in the possesion of my luggage air india knows nothing all they suggest is rasing another ticket as the others i already have are closed not that anyone even contacted me once to tell me something the sheer incompetence of this airline is incredible i will take a moment here also to speak about the flight itself aircraft dirty not a little dirty but dirty in a gross way like it was cleaned the last time a few years ago entertainment wise 50 of all screens in the aircraft were not working the ones that did had headphones issues the perfect environment to spend 9h this was the last time that i will buy a ticket from them and i really advice everyone else to not look at a couple of dollars difference and save yourselves hours of headaches customer support is inexistant they answer they barely speak english and all that they do is open tickets that they close themselves probably to look good in statistics as none of my tickets got any answer or at least an automatic email saying that your ticket is closed you just wait like an idiot and nothing happens,0,"['a flight', '31 august', 'bangalore', 'paris', 'a stop', 'the connection', 'the air india personell', 'the baggage', '10s', 'calls', 'several tickets', 'the possesion', 'my luggage air india', 'another ticket', 'the others', 'the sheer incompetence', 'this airline', 'a moment', 'a gross way', 'all screens', 'the aircraft', 'the ones', 'headphones issues', 'the perfect environment', '9h', 'the last time', 'a ticket', 'a couple', 'dollars difference', 'hours', 'headaches customer support', 'english', 'open tickets', 'statistics', 'none', 'my tickets', 'any answer', 'at least an automatic email', 'your ticket', 'an idiot']"
AirIndia,1.0,disappointed in air india service,Mahesh Sharma,2024-09-26,the worst experience when i decided to book tickets for my father with air india i choose the hassle free itinerary so that he doesnt have to check in the baggage two times but the opposite happened while booking the ticket the airline hid the information about baggage self transfer in the transit and i confirmed with their costumer service agent two times that if the connected flight will have automatic baggage check in or else and both time i got the answer that this is same airline in both flights so it is automatically transfer baggage service so i was relieved but at delhi airport my father was told to take the baggage and self check in again and he was confused and called me to confirm as of my surprise i called the air india customer support which was of no help obviously finally my father who is almost 65 years has to self check in the baggage i am utterly disappointed in air india service as one of the reasons i choose air india because the transit would be smooth but it was the worst,0,"['the worst experience', 'tickets', 'my father', 'air india', 'the hassle free itinerary', 'the baggage', 'the opposite', 'the ticket', 'the airline', 'the information', 'baggage self transfer', 'the transit', 'their costumer service agent', 'the connected flight', 'automatic baggage check', 'the answer', 'same airline', 'both flights', 'automatically transfer baggage service', 'delhi airport', 'my father', 'the baggage', 'self check', 'my surprise', 'the air india customer support', 'no help', 'my father', 'almost 65 years', 'the baggage', 'air india service', 'the reasons', 'air india', 'the transit']"
AirIndia,1.0,made me buy a new ticket,Meenakshi Shrivastava,2024-09-26,i was traveling from delhi to washington on 9202024 i had booked round trip washington to pune but due to family emergency i traveled to delhi and informed customer service i will be boarding from delhi to washington instead of pune when boarding from delhi they did not allow me to fly and made me buy a new ticket the staff was not cooperative and it was a very bad situation for me i had to pay double for this trip,0,"['washington', 'round trip washington', 'pune', 'family emergency', 'delhi and informed customer service', 'delhi', 'washington', 'pune', 'a new ticket', 'the staff', 'a very bad situation', 'this trip']"
AirIndia,1.0,i had the worst experience,Harpreet Kaur,2024-09-26,i had the worst experience with air india  i had 2 carryon bags and both of them were lost during handling by airline by the time i received them i was missing all my money and valuables when i made a complaint about it it was just a waste of my time delhi team was useless and instead of helping they give you headaches no one take responsibility that is main part which making airline zero if you are reading my review i will say spend 50 extra and book other airline at least you will have peace of mind,0,"['the worst experience', 'air india', '2 carryon bags', 'airline', 'the time', 'all my money', 'valuables', 'a complaint', 'just a waste', 'my time', 'delhi team', 'headaches', 'no one', 'responsibility', 'main part', 'airline', 'my review', 'peace', 'mind']"
AirIndia,2.0,145 hour flight no entertainment,Mahesh Reddy,2024-09-26,ai 106 04132024 101 04232024 145 hour flight no entertainment system no call system no reading lights worse than 3rd world food service no cold beverages inexperienced young but polite staff panels on ac fall during takeoff panels near foot rest falls off carbonated drink bottles kept loose which fizz out over customers 1200 for a flight that was the worst in the 40 years of flying food service equipment not working cold food served bathroom out of service due to water leaks drink service at 430 usest in the morning dinner service with no drinks the flagship of an industrial powerhouse which is no longer tata is milking the airline like the pe firms by no comfort funds maintenance funds no food funds no qualified staffing,1,"['106 04132024 101 04232024 145 hour flight no entertainment system', 'no reading lights', '3rd world food service', 'no cold beverages', 'young but polite staff panels', 'ac', 'takeoff panels', 'foot rest', 'carbonated drink bottles', 'customers', 'a flight', 'the 40 years', 'flying food service equipment', 'cold food', 'bathroom', 'service', 'water leaks', 'service', '430 usest', 'the morning dinner service', 'no drinks', 'the flagship', 'an industrial powerhouse', 'the airline', 'the pe firms', 'no comfort funds maintenance funds', 'no food funds', 'no qualified staffing']"
AirIndia,10.0,we won’t forget it,Negine Vatani,2024-09-26,my husband left his passport at home and is flying air india 160924 the staff at check in desk kept on pushing for him to board right till the doors were closing checked his bag and all waited standby until i reached to bring his passport naveen sikka absolutely lovely man who helped my husband board as well as his colleagues who rushed him on to the plane all incredible thank you all for your help we won’t forget it if it was any other airline they wouldn’t have even entertained it thanks again,1,"['my husband', 'his passport', 'home', 'air india', 'the staff', 'check', 'desk', 'the doors', 'his bag', 'his passport', 'naveen', 'absolutely lovely man', 'my husband board', 'his colleagues', 'the plane', 'your help', 'any other airline', 'thanks']"
AirIndia,1.0,worst of my flying experience,Amit Sood,2024-09-26,on the way in from sydney to delhi  there were no sound and the return flight was even bad we had three family members travelling together sitting in the same row and none of the entertainment stem were working insult to injury was that the flight attendants did not care about it and no effort was made to comfort the passengers somehow they expected us to accept it seats are broken think many times before booking with air india as it is full of surprises better to find any alternate flight because these 14 hours of the flight were the worst of my flying experience,0,"['the way', 'sydney', 'delhi', 'no sound', 'the return flight', 'three family members', 'the same row', 'none', 'the entertainment stem', 'insult', 'injury', 'the flight attendants', 'no effort', 'the passengers', 'seats', 'air india', 'surprises', 'any alternate flight', 'these 14 hours', 'the flight', 'my flying experience']"
AirIndia,1.0,service is just getting worse and worse,P Cooper,2024-09-26,this is the worst airlines anyone can choose i had a flight with my family on december 1st 2023 from delhi to vancouver the flight was supposed to be at 515 am which was delayed later to 715 am to 1015am and 1230 pm then again delayed to around 1 pm me and my family were in a transit from cochin the airline kept on changing the time without any notice my initial layover was five hours at airport which eventually led a twelve hour stay in an airport once i reached my destination and contacted the customer care they wouldn’t help me out with the whole thing instead they said they will contact me back vey soon till this day they haven’t this is not the first time i’m facing the same issue from my experience never choose air india the service is just getting worse and worse no sense of customer satisfaction or helping them to say the airport staff are just communalists even though they know a person don’t know hindi they just keep forcing and shoving hindi on to your face i have called the customer service more than five times still these company does not give a damn about there passengers flying on air india is just useless and you won’t be able to reach your destination on time if anyone need to reach a destination on time go for a different flight also if the cabin crew ask me every time do i need veg  non veg if i say veg they serve me non veg and if i ask non veg they serve me veg overall this flight is ridiculous,0,"['the worst airlines', 'a flight', 'my family', 'december 1st', 'the flight', '515 am', '1230 pm', 'around 1 pm', 'my family', 'a transit', 'cochin', 'the airline', 'the time', 'any notice', 'my initial layover', 'five hours', 'airport', 'a twelve hour stay', 'an airport', 'my destination', 'the customer care', 'the whole thing', 'this day', 'n’t', 'the first time', 'the same issue', 'my experience', 'air india', 'the service', 'no sense', 'customer satisfaction', 'the airport staff', 'communalists', 'a person', 'hindi', 'hindi', 'your face', 'the customer service', 'these company', 'a damn', 'passengers', 'air india', 'your destination', 'time', 'a destination', 'time', 'a different flight', 'the cabin crew', 'veg  non veg', 'veg', 'non veg', 'non veg', 'this flight']"
